AAPL,GOOG,GOOGL,C,BA,MS,MSFT,GS,BAC,NDAQ,T,WFC,AMZN,MCO,BLK,CVX,INTC,PFE,ORCL,HPQ,SBUX,CSCO,NFLX,MRK,CME,BBY,MET,EBAY,CMCSA,MA,CAT,FDX,QCOM,NKE,MCD,HD,DISCA,DISCK,PEP,STT,AMGN,HAL,ALL,MMM,AXP,COP,MDT,CCL,XOM,RTN,TXN,EA,USB,DE,UTX,ADBE,HES,M,XRX,BSX,APA,BIIB,ETFC,EXC,GE,LEN,WHR,MO,KMI,TIF,AVGO,GIS,SLB,ILMN,ETN,ETR,AES,NVDA,JNJ,LMT,AFL,AMAT,DUK,COTY,HUM,GD,HAS,IVZ,DISH,K,AON,AGN,JPM,WYNN,EXPE,PLD,L,JWN,ACN,HCA
-0.02611866,-0.004076103,0.0064560995,0.20374471,0.21234511,-0.032506973,0.09573091,0.046910938,0.1711257,0.12216861,0.24608949,0.1417999,0.3098096,0.063393414,0.24695571,-0.04548452,0.114703044,0.11369955,0.05458083,0.1703376,0.0014206305,0.067466505,0.08950085,0.2898038,0.10458393,0.05698254,0.13909505,0.21863148,0.24885562,0.080376156,0.18801373,0.18905011,0.24435747,0.09962628,0.08572405,0.039957076,0.14685069,0.062321585,0.15942605,0.26229024,0.06392722,0.006904447,0.09240301,0.119069256,0.17781499,0.13863355,0.22310962,0.1374727,0.09641415,0.11543862,0.17559442,0.12231354,0.17356856,0.07521476,0.11769754,0.18951762,-0.0050041294,0.068689175,0.021637619,0.111936465,-0.036761258,0.21541853,0.15734759,0.23433816,0.16215065,0.23920836,0.1467369,0.06476258,5.989592e-17,0.063542165,0.0036825156,0.19277008,0.03634713,0.035549723,0.034919016,0.089459695,0.23759587,0.021804256,0.08021112,0.13976902,0.042730365,0.09838419,0.028523229,-6.155312e-07,0.22637229,0.13256429,0.16284019,0.2512251,0.09872058,0.22842637,0.16213195,-0.044761494,0.10199751,0.1463564,0.263559,0.010082401,0.11632286,0.11068479,0.103122614,0.007969978
0.038866326,0.059719812,0.06960782,-0.08318227,-0.030223612,0.07654896,-0.032364905,0.1510731,0.060839586,0.07140911,0.014732664,-0.04424499,-0.09480399,0.064778425,0.047574606,0.026225444,0.07530623,0.10832069,0.025555225,0.11621411,-0.08664624,-0.025920678,0.19198906,0.12304469,0.19663128,-0.055975504,0.11583703,0.06976931,-0.015744407,0.059196062,0.16327837,-0.10268546,-0.07620113,0.0020853272,-0.19079842,0.11037046,-0.15128131,-0.20542476,0.03659584,-0.039317615,0.072375074,0.12280404,0.09300676,0.05848935,0.044719316,-0.03815159,0.08444562,-0.006109235,0.18166366,-0.1690819,0.03552071,-0.080221325,0.12928724,0.14679648,-0.11759382,-0.038181756,-0.048081633,-0.14001524,0.014620941,-0.06645231,0.047531173,0.09888167,0.010459241,0.0876018,0.10716782,0.19826627,-0.05977437,0.12844113,3.5215538e-28,0.0046074786,-0.11353474,0.012367844,0.14659722,0.15444678,-0.053761084,-0.007540575,-0.05530714,0.0030839888,-0.059496175,-0.14993143,-0.04717021,0.0049747834,-0.07105517,5.6095993e-28,0.097466946,-0.04857241,0.08455186,-0.08330917,-0.006172025,0.2619751,0.05374945,0.14651395,0.047061075,0.062324848,0.014625997,0.18970361,0.049353026,-0.05796584,-0.12990208,-2.4237633e-19
-0.075006865,-0.26935396,-0.26522213,-0.18868981,-0.14477596,0.010663358,-0.07833661,-0.29997638,-0.25895524,-0.16892892,-0.23144147,-0.2794727,-0.23283239,-0.2574542,-0.23732094,-0.24036036,-0.17705029,-0.19558764,-0.14579193,-0.17527543,-0.30063355,-0.20742747,-0.028614797,-0.27300304,-0.35351095,-0.23187655,-0.28078225,-0.23786093,-0.20441686,-0.11968754,-0.10413823,-0.15743862,-0.17413902,-0.14176905,-0.076862775,-0.1393869,-0.22426854,-0.118103966,-0.15679497,-0.24905443,-0.11760005,-0.0556613,-0.27502155,-0.28026384,-0.112101115,-0.149037,-0.1022146,-0.2811896,-0.21066609,-0.17660508,-0.1047572,-0.010873439,-0.28016672,-0.044931456,-0.19337238,-0.22171067,-0.15287195,-0.09945431,-0.23139004,-0.27907723,-0.18639055,-0.22137888,-0.34698957,-0.1283271,-0.17037566,-0.15919773,-0.27728063,0.08516845,0.00016033596,-0.022929747,-0.11785499,-0.20923051,-0.17186698,0.0048004454,-0.20282653,-0.11632314,-0.12824024,-0.16658786,-0.20934962,-0.17195515,-0.294487,-0.31928903,-0.2269116,-1.31920615e-05,-0.3019498,-0.17965703,-0.108938,-0.18790647,-0.31304395,-0.13186538,-0.03268175,-0.1063871,-0.2761818,-0.24961182,-0.084278464,-0.19499907,-0.066818915,-0.02767012,-0.100394666,-0.0007571838
0.09361201,0.09968751,0.10330159,0.048509605,0.100153096,-0.025034023,0.15110618,-0.09298173,0.010506871,0.03444199,0.034277737,0.1243446,0.14128521,0.0024286015,-0.0250022,0.01533346,0.20446523,-0.07149225,0.1665431,0.06984983,-0.0012834929,0.14556026,0.056197785,0.0022304486,0.07727914,-0.031407032,-0.028117597,0.18970034,-0.014062691,-0.04867178,0.002952498,-0.05037324,0.16821061,0.0729282,0.05165366,-0.053015277,0.1033367,-0.0053496347,0.023025151,0.14969975,0.12497,0.014065354,0.101755984,0.032439366,0.08925021,-0.03094943,0.062152877,0.07452136,0.1082072,0.038745668,-0.00097179716,0.10224766,0.07683967,0.07881345,0.06804048,-0.07417053,0.02538031,0.009586029,0.036869887,-0.048939828,-0.067784354,0.093294516,0.16421732,0.14546986,-0.07935113,0.14796075,0.13470478,0.056680504,4.9998616e-05,0.010928077,-0.013032732,0.043970615,0.013308026,-0.028131653,-0.0041887565,0.095096126,-0.020686375,0.07112574,-0.061311144,0.098095596,-0.011764935,0.15934417,0.022913074,0.006754787,-0.06463775,0.079008184,0.13636442,-0.049659967,0.15386185,0.12709537,0.044985257,-0.060123235,0.060870238,-0.033724494,0.040318854,-0.03389745,0.027235486,0.038886968,-0.027307594,8.8251426e-32
-0.029035378,0.025305353,0.02810809,0.16926348,0.019307407,0.09474809,0.041608408,0.026271194,0.21962817,0.013948638,0.04938372,0.18213142,-0.10707512,-0.090121605,0.062907934,-0.0499202,0.09096502,0.023838667,-0.012133636,0.1304142,0.098255165,-0.019571468,-0.045027,0.02743144,-0.04134163,0.16402268,0.12782069,0.056146763,0.12131585,-0.059460584,0.09835416,0.08525031,0.06810024,0.03299895,0.0447848,-0.08656547,0.13609266,0.08556568,0.0684057,0.08282518,-0.004673803,0.051278226,0.14797229,-0.04341259,0.037953507,-0.06685901,0.1355294,0.05911921,0.03052536,0.012373485,0.08910996,0.10608924,0.104866855,0.11257112,0.022635229,0.21081194,-0.07573777,-0.014493493,0.019685635,-0.05180656,0.047798384,-0.010701833,0.07677778,-0.0773638,0.013175726,0.10375596,0.11643651,-0.022524098,1.871446e-18,-0.07345448,-0.016803835,0.12814818,0.05943588,0.056225777,0.0277403,-0.14061555,-0.06385225,0.15448599,0.1520973,-0.007963717,0.0930756,0.17499694,0.03382983,-0.03565716,0.1318591,0.13225965,0.08410454,0.0759166,0.17897037,0.024369324,0.159081,-0.0101010855,0.12500454,0.027969304,-0.03356634,-0.03846167,0.016134571,-0.024784159,-0.053790074,-9.540334e-12
0.016626334,0.1689776,0.16434391,0.0829992,0.1167691,0.12920548,0.046070267,0.20653984,0.12840922,0.07196996,-0.015235594,0.16300538,0.06437145,0.08888075,0.12143191,0.07381765,0.080419704,0.1553019,-0.025665559,-0.027762173,0.20716183,0.077916056,0.0019431198,0.110066645,0.1169531,0.099700354,0.102683544,0.118046805,0.109114,0.106773704,0.06579557,0.01790913,0.18283543,0.06446057,0.12464123,0.09452421,0.21053517,0.17757131,0.12653342,0.097043864,0.08624149,0.0897599,0.07282206,0.045406856,0.23280804,0.13155404,0.09309924,0.06978014,0.13392621,0.039121654,0.18904674,0.16119626,0.08989297,0.03884237,0.003400154,-0.058479313,0.042173214,0.0729721,0.1008451,0.03963778,0.17075656,0.083551295,0.060746677,0.12464987,0.08397154,-0.008162165,0.07546352,0.026047869,-0.00039283882,0.17627336,-0.115312845,0.18112423,0.059831142,0.023400258,0.05265932,0.0007686209,0.025754107,-0.033121146,0.0671825,0.18216912,0.13333476,0.121083975,-0.012443113,3.5311687e-34,0.0024359275,0.07879922,0.019950738,0.10034826,0.06662708,0.075758845,0.16401374,-0.024439951,0.20784354,0.015822403,0.039293334,0.19251114,-0.06423493,0.10283897,-0.027866732,0.0036591804
-0.047466185,-0.009681818,-0.023039844,0.24779911,0.13273495,0.059312608,0.04433364,0.10113918,0.19037302,-0.05837323,0.17678359,0.2500452,0.14080232,0.038787656,0.0919886,0.09569284,0.053613324,0.06389757,0.15160643,0.00065290864,0.10586303,0.042435568,-0.01517131,0.09582625,0.035188098,0.11539946,0.18929417,0.040700793,0.17909434,-0.027341872,0.20214659,0.159007,0.13735223,0.105204366,-0.07356458,0.15961342,0.08550273,0.051557146,0.191661,0.10208502,0.040919095,0.011310408,0.23149236,0.14300042,0.22278845,0.12391979,0.20992412,0.07077443,0.10897148,0.066570364,0.0095855575,-0.058442183,0.20943826,0.07292263,0.07756234,0.049733292,0.09572672,0.06055794,0.1978981,0.056251716,0.11120284,0.13945284,0.0057874974,0.15464188,0.102621965,0.3254501,0.15192626,0.21731065,1.8973342e-05,0.20314874,0.09396869,0.11529385,-0.035945557,0.15426758,0.13401113,0.07189591,0.2118386,-0.08263085,0.11325704,0.100881025,0.19498122,0.022166401,0.05710874,3.1758234e-06,0.059931297,0.15425879,0.07698663,0.07636724,0.011282156,0.12130897,0.05885989,-0.038929556,0.24750465,0.030418226,-0.041938003,0.19582132,0.19516331,0.16739538,-0.0036022696,-1.6065268e-34
0.011546595,-0.0018267371,0.005709428,-0.042696923,0.1149934,0.037573114,-0.07954721,-0.027932182,-0.017321931,-0.0470813,0.016715268,-0.06392306,-0.1447526,-0.0064037354,-0.14969385,-0.14943185,-0.10413535,-0.04402708,-0.16799307,-0.0142166205,-0.081890896,-0.10243666,-0.09953725,-0.01242919,0.01518563,-0.11806762,-0.048843715,-0.050426286,0.014345031,-0.0041636974,0.06295145,-0.05855623,-0.040434036,0.06005263,-0.21476908,-0.10799485,-0.04174793,-0.024505079,-0.14102648,-0.03423571,-0.028270936,0.013334992,0.089015156,-0.03379056,-0.060852464,-0.04329901,0.05229485,-0.06953603,-0.113475904,-0.036319252,-0.018737124,-0.043733448,-0.06539035,-0.07221162,-0.06269252,-0.015934128,-0.099204555,-0.012208464,0.056741875,0.04887654,-0.07995246,-0.038697124,0.050850227,-0.18166564,0.022235254,0.14531504,-0.038565464,-0.110050686,5.171981e-10,-0.17836218,-0.04193678,-0.19528079,-0.04404354,0.073158056,-0.009752024,-0.083211474,-0.16407539,-0.003494148,0.011097735,-0.053849164,0.009265347,-0.07233584,-0.101142354,2.4989759e-15,-0.16852587,-0.06764875,-0.044746324,-0.02939663,-0.03932814,-0.014357645,-0.032888502,0.0818209,-0.04731079,-0.11032161,-0.015800567,0.09936166,-0.011344498,-0.093215436,0.06269425,1.7546413e-31
-0.0051802504,0.09015296,0.08950009,0.026109887,0.08025751,0.14636578,0.08105049,0.16976479,0.13334484,-0.0080616865,0.0086378455,0.154421,0.082606904,0.17706056,0.091024175,0.08417796,0.14654215,0.11820917,0.15732498,0.18926865,0.111696124,0.093223214,0.020726886,0.034198247,0.14897233,0.06232224,0.12558113,0.11400097,0.068483636,0.036078967,0.24461533,0.047007382,0.10773487,0.0124432165,0.13265559,0.033307265,0.10840064,0.033411067,0.14986643,0.10347156,0.056398746,0.111782566,0.18784492,0.113042764,0.18374029,0.11297197,0.07906558,0.15288575,0.14579274,0.01577309,0.18512122,0.092861585,-0.0290765,0.083289884,0.044026334,0.19314285,0.07968807,0.08070003,0.083234556,0.055413045,0.2096407,0.072705306,0.0619679,0.025317617,0.06722006,0.16994308,0.12162732,0.07101859,-0.0010571186,0.06225827,-0.039934933,0.16010481,0.11545141,0.12500378,0.027461775,-0.027446141,-0.022040915,0.11587766,0.14671132,0.05172132,0.0739477,0.19516867,-0.0070737647,-0.018254563,0.228509,0.089383766,0.090165794,0.042893406,0.026043514,0.021802079,0.11973507,0.14457548,0.0750634,0.1973594,0.17291301,0.1585702,0.15407984,0.118952505,0.1238927,-1.5189009e-27
0.006755251,-0.024509732,-0.02709017,0.0020815383,0.021041537,0.048513588,0.034622695,0.034460858,0.09020092,0.023252536,0.1641351,0.07263367,0.084198155,-0.014339346,-0.051023502,0.04877472,-0.057867717,-0.0067299604,-0.019780718,0.034285307,0.007050662,-0.0055574565,0.17801623,0.09706652,-0.047610104,-0.014300371,0.12960647,-0.033797793,0.02603378,0.06294638,0.070431374,0.0034024892,-0.08461949,0.022379348,0.08354507,0.004322741,0.19394618,0.15819734,0.110941626,-0.021802377,0.03903498,-0.028821677,0.018118005,0.034766678,0.094854,0.12593341,0.03154326,0.006139417,0.14874943,-0.037252244,0.014816301,0.04843511,0.10240524,0.11342593,-0.049824566,0.08845704,-0.010215921,0.009282129,0.0094547365,0.010133892,-0.014998255,0.10728536,0.01472696,0.05085698,0.109263614,-0.028585631,0.04351946,0.0044239173,6.9866134e-11,0.079579756,-0.040937312,0.09885863,-0.0247493,0.05908741,0.14587271,0.047528777,0.10120857,0.0046665883,0.0052623022,0.094293594,0.08295134,-0.03924507,-0.07655741,0.0012179713,0.03278014,0.042097416,0.11771363,-0.03221385,0.12434429,0.12126548,-0.028595665,-0.0678853,0.14867581,0.042620003,-0.12843063,0.0033104161,0.0798152,-0.029944237,0.00067517004,-0.0079578785
